"CODIGO_
ENTIDAD";"CODIGO_
UBIGEO";"CODIGO_
PAIS";DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE_UO;GOBIERNO_LOCAL;RUC_GOBIERNO_LOCAL;"AÑO_
GASTO";"MES_
GASTO";USO_DEPENDENCIA;"NRO_PLACA
COD_VEHICULO";"NUMERO_
VALE";"FECHA_
CONSUMO";PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO;"FECHA_
CORTE"
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;AAQ-460;57089;20210102;1er QUINCENA;GASOHOL 90;10.45;5.223;54.58;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2092;57090;20210102;1er QUINCENA;GASOHOL 90;10.45;2.2;22.99;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2077;57091;20210102;1er QUINCENA;GASOHOL 90;10.45;2.434;25.44;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2088;57092;20210102;1er QUINCENA;GASOHOL 90;10.45;3.143;32.84;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2097;57093;20210102;1er QUINCENA;GASOHOL 90;10.45;2.277;23.79;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2086;57094;20210102;1er QUINCENA;GASOHOL 90;10.45;1.215;12.7;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2090;57095;20210102;1er QUINCENA;GASOHOL 90;10.45;2.59;27.07;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2094;57096;20210102;1er QUINCENA;GASOHOL 90;10.45;2.281;23.84;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2095;57097;20210102;1er QUINCENA;GASOHOL 90;10.45;1.628;17.01;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2084;57098;20210102;1er QUINCENA;GASOHOL 90;10.45;3.075;32.13;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;PQM-447;57099;20210102;1er QUINCENA;GASOHOL 90;10.45;7.466;78.02;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EGQ-314;57100;20210102;1er QUINCENA;GASOHOL 97;16.69;11.742;195.97;20211231
