MES_GASTO;USO_DEPENDENCIA;PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO
1;1;1;1;11.08;8.787;97.36
1;1;1;1;11.08;14.634;162.14
1;6;1;1;11.08;5.025;55.68
1;1;1;1;11.08;10.67;118.22
1;1;1;1;11.08;7.151;79.23
1;1;1;1;11.08;16.996;188.32
1;1;1;2;10.45;2.546;26.61
1;1;1;1;11.08;11.42;126.53
1;1;1;1;11.08;10.797;119.63
1;1;1;1;11.08;7.631;84.55
1;2;1;1;11.08;18.454;204.47
1;2;1;1;11.08;18.112;200.68
1;3;1;1;11.08;19.992;221.51
1;3;1;1;11.08;23.741;263.05
1;2;1;1;11.08;9.191;101.84
1;3;1;1;11.08;12.506;138.57
1;4;1;1;11.08;15.743;174.43
1;5;1;1;11.08;8.902;98.63
1;1;2;2;10.45;6.191;64.7
1;1;1;1;11.08;17.481;193.69
1;1;1;1;11.08;8.908;98.7
1;2;1;1;11.08;20.099;222.7
1;1;1;1;11.08;10.759;119.21
1;2;1;1;11.08;17.65;195.56
1;4;1;1;11.08;20.171;223.49
1;6;1;2;10.45;7.668;80.13
1;3;1;1;11.08;61.861;685.42
1;5;1;1;11.08;6.856;75.96
1;4;1;1;11.08;11.002;121.9
1;4;1;1;11.08;12.286;136.13
1;1;1;3;16.69;11.944;199.35
1;1;1;2;10.45;2.239;23.4
1;1;1;2;10.45;1.583;16.54
1;1;1;2;10.45;2.349;24.55
1;1;1;2;10.45;2.637;27.56
1;1;1;2;10.45;2.353;24.59
1;5;1;2;10.45;9.979;104.28
1;1;1;2;10.45;1.893;19.78
1;1;1;2;10.45;2.039;21.31
1;1;1;2;10.45;2.058;21.51
1;3;1;2;10.45;70.031;731.82
1;1;1;2;10.45;2.347;24.53
1;1;1;2;10.45;3.179;33.22
1;1;1;2;10.45;3.049;31.86
1;1;1;2;10.45;3.346;34.97
1;1;1;2;10.45;3.187;33.3
1;1;1;2;10.45;3.187;33.3
1;1;1;1;11.15;12.199;136.02
1;1;1;1;11.15;13.424;149.68
1;1;1;1;11.15;12.727;141.91
1;1;1;1;11.15;7.113;79.31
1;1;1;1;11.15;11.223;125.14
1;1;1;1;11.15;15.646;174.45
1;1;1;1;11.15;12.075;134.64
1;1;1;1;11.15;13.345;148.8
1;1;1;1;11.15;5.09;56.75
1;1;1;1;11.15;6.468;72.12
1;1;1;1;11.15;6.563;73.18
1;4;1;1;11.15;12.447;138.78
1;1;1;1;11.15;10.64;118.64
1;1;1;1;11.15;8.03;89.53
1;1;1;1;11.15;12.415;138.43
1;1;1;1;11.15;12.503;139.41
1;1;1;1;11.15;6.261;69.81
1;1;1;1;11.15;10.942;122
1;1;1;1;11.15;3.53;39.36
1;1;1;1;11.15;11.13;124.1
1;2;1;1;11.15;15.889;177.16
1;6;1;1;11.15;4.695;52.35
1;2;1;1;11.15;23.305;259.85
1;1;1;1;11.15;9.496;105.88
1;2;1;1;11.15;19.191;213.98
1;2;1;1;11.15;17.687;197.21
1;4;1;1;11.15;7.428;82.82
